DATE,GDP
1/1/2001,10470.231
4/1/2001,10599
7/1/2001,10598.02
10/1/2001,10660.465
1/1/2002,10783.5
4/1/2002,10887.46
7/1/2002,10984.04
10/1/2002,11061.433
1/1/2003,11174.129
4/1/2003,11312.766
7/1/2003,11566.669
10/1/2003,11772.234
1/1/2004,11923.447
4/1/2004,12112.815
7/1/2004,12305.307
10/1/2004,12527.214
1/1/2005,12767.286
4/1/2005,12922.656
7/1/2005,13142.642
10/1/2005,13324.204
1/1/2006,13599.16
4/1/2006,13753.424
7/1/2006,13870.188
10/1/2006,14039.56
1/1/2007,14215.651
4/1/2007,14402.082
7/1/2007,14564.117
10/1/2007,14715.058
1/1/2008,14706.538
4/1/2008,14865.701
7/1/2008,14898.999
10/1/2008,14608.208
1/1/2009,14430.901
4/1/2009,14381.236
7/1/2009,14448.882
10/1/2009,14651.248
1/1/2010,14764.611
4/1/2010,14980.193
7/1/2010,15141.605
10/1/2010,15309.471
1/1/2011,15351.444
4/1/2011,15557.535
7/1/2011,15647.681
10/1/2011,15842.267
1/1/2012,16068.824
4/1/2012,16207.13
7/1/2012,16319.54
10/1/2012,16420.386
1/1/2013,16629.05
4/1/2013,16699.551
7/1/2013,16911.068
10/1/2013,17133.114
1/1/2014,17144.281
4/1/2014,17462.703
7/1/2014,17743.227
10/1/2014,17852.54
1/1/2015,17991.348
4/1/2015,18193.707
7/1/2015,18306.96
10/1/2015,18332.079
1/1/2016,18425.306
4/1/2016,18611.617
7/1/2016,18775.459
10/1/2016,18968.041
1/1/2017,19148.194
4/1/2017,19304.506
7/1/2017,19561.896
10/1/2017,19894.75
1/1/2018,20155.486
4/1/2018,20470.197
7/1/2018,20687.278
10/1/2018,20819.269
1/1/2019,21013.085
4/1/2019,21272.448
7/1/2019,21531.839
10/1/2019,21706.532
1/1/2020,21538.032
4/1/2020,19636.731
7/1/2020,21362.428
10/1/2020,21704.706
1/1/2021,22313.85
