DATE,CLVMNACSCAB1GQNO
1/1/1980,306144.5
4/1/1980,299850.6
7/1/1980,294413
10/1/1980,300813.8
1/1/1981,306072.2
4/1/1981,307349.9
7/1/1981,303493.4
10/1/1981,303415.9
1/1/1982,305438.9
4/1/1982,305469.9
7/1/1982,305379.4
10/1/1982,306361.7
1/1/1983,312989.1
4/1/1983,316454.4
7/1/1983,320845.1
10/1/1983,320965.7
1/1/1984,329089.7
4/1/1984,331142.9
7/1/1984,340779.9
10/1/1984,347893.2
1/1/1985,353621.1
4/1/1985,348724.7
7/1/1985,358944.1
10/1/1985,362434.4
1/1/1986,368797.3
4/1/1986,363750.9
7/1/1986,373331
10/1/1986,375393.7
1/1/1987,373982.4
4/1/1987,382268.4
7/1/1987,372219.6
10/1/1987,379026.2
1/1/1988,378685
4/1/1988,372848.6
7/1/1988,376015.8
10/1/1988,376556.9
1/1/1989,374173.7
4/1/1989,378610.1
7/1/1989,382313.2
10/1/1989,385002.2
1/1/1990,383492.7
4/1/1990,387656.8
7/1/1990,383824.4
10/1/1990,394154.1
1/1/1991,397444.6
4/1/1991,399533.9
7/1/1991,398552.6
10/1/1991,401490.6
1/1/1992,409961.9
4/1/1992,412109.8
7/1/1992,417537.9
10/1/1992,414533.5
1/1/1993,411873.7
4/1/1993,419060.3
7/1/1993,427451.4
10/1/1993,442732.7
1/1/1994,437894.9
4/1/1994,448139.2
7/1/1994,442024.5
10/1/1994,459570.1
1/1/1995,456239.1
4/1/1995,460240.4
7/1/1995,471140.5
10/1/1995,476981.2
1/1/1996,483929.1
4/1/1996,483262.3
7/1/1996,499451.7
10/1/1996,491399.2
1/1/1997,504637.6
4/1/1997,516873.2
7/1/1997,516314
10/1/1997,523645.3
1/1/1998,528719.3
4/1/1998,534741.9
7/1/1998,525101.4
10/1/1998,527800.8
1/1/1999,532319
4/1/1999,532562
7/1/1999,543561.2
10/1/1999,552957.8
1/1/2000,561318.7
4/1/2000,553171.4
7/1/2000,558567.6
10/1/2000,558788.2
1/1/2001,565403.5
4/1/2001,564394.6
7/1/2001,571374.4
10/1/2001,576363
1/1/2002,571184
4/1/2002,583086.1
7/1/2002,574408.1
10/1/2002,580913.1
1/1/2003,580746.9
4/1/2003,577976.8
7/1/2003,586109.4
10/1/2003,586297.3
1/1/2004,607048.8
4/1/2004,608299.9
7/1/2004,601266.7
10/1/2004,607182.4
1/1/2005,616694.4
4/1/2005,619934.9
7/1/2005,625088.1
10/1/2005,626497.7
1/1/2006,630925.4
4/1/2006,631714.7
7/1/2006,638205.9
10/1/2006,649902.1
1/1/2007,650082.2
4/1/2007,650071.8
7/1/2007,658428.5
10/1/2007,665605.6
1/1/2008,658830.8
4/1/2008,659159.1
7/1/2008,657955.5
10/1/2008,660015.5
1/1/2009,650278.6
4/1/2009,644525.7
7/1/2009,644942.8
10/1/2009,645289.1
1/1/2010,660256.8
4/1/2010,653221.8
7/1/2010,636973.8
10/1/2010,654898.5
1/1/2011,655221.6
4/1/2011,652505.9
7/1/2011,663048.4
10/1/2011,663391.3
1/1/2012,678848.3
4/1/2012,680450.9
7/1/2012,670576.1
10/1/2012,676062.8
1/1/2013,676634.9
4/1/2013,681532.2
7/1/2013,688228.6
10/1/2013,687006.8
1/1/2014,694028
4/1/2014,699140.7
7/1/2014,702070.1
10/1/2014,710626.6
1/1/2015,709074
4/1/2015,712820.3
7/1/2015,721144.2
10/1/2015,714833
1/1/2016,718375.8
4/1/2016,718147.5
7/1/2016,715942.7
10/1/2016,725532.3
1/1/2017,733753.6
4/1/2017,740823
7/1/2017,745899.6
10/1/2017,741650.2
1/1/2018,745284.4
4/1/2018,747526.3
7/1/2018,752235.8
10/1/2018,752489.1
1/1/2019,749154.7
4/1/2019,755596.9
7/1/2019,759890.2
10/1/2019,766189.3
1/1/2020,756571.3
4/1/2020,715206
7/1/2020,746152.9
10/1/2020,756817.7
1/1/2021,752193.6
4/1/2021,762006.3
7/1/2021,787240.8
10/1/2021,792364.7
1/1/2022,785998.3
4/1/2022,794867.6
